timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1571135642717,2129,Gmail Login,200,OK,Thread Group 1-1,text,false,My own clear and comprehensive message,75070,621,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,529,1,1,DESKTOP-V2C2U8P,0,449
1571135642717,529,Gmail Login-0,301,Moved Permanently,Thread Group 1-1,text,true,,572,113,1,1,https://gmail.com/,529,1,0,DESKTOP-V2C2U8P,0,449
1571135643247,417,Gmail Login-1,302,Found,Thread Group 1-1,text,true,,605,124,1,1,https://www.google.com/gmail/,417,1,0,DESKTOP-V2C2U8P,0,253
1571135643665,444,Gmail Login-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1002,124,1,1,https://mail.google.com/mail/,442,1,0,DESKTOP-V2C2U8P,0,276
1571135644110,736,Gmail Login-3,200,OK,Thread Group 1-1,text,true,,72891,260,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,463,1,0,DESKTOP-V2C2U8P,0,261
1571135644873,2289,Gmail Login,200,OK,Thread Group 1-1,text,false,My own clear and comprehensive message,73990,621,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,325,1,1,DESKTOP-V2C2U8P,0,277
1571135644873,325,Gmail Login-0,301,Moved Permanently,Thread Group 1-1,text,true,,572,113,1,1,https://gmail.com/,325,1,0,DESKTOP-V2C2U8P,0,277
1571135645199,591,Gmail Login-1,302,Found,Thread Group 1-1,text,true,,605,124,1,1,https://www.google.com/gmail/,591,1,0,DESKTOP-V2C2U8P,0,443
1571135645791,676,Gmail Login-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1002,124,1,1,https://mail.google.com/mail/,676,1,0,DESKTOP-V2C2U8P,0,437
1571135646468,694,Gmail Login-3,200,OK,Thread Group 1-1,text,true,,71811,260,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,574,1,0,DESKTOP-V2C2U8P,0,333
1571136175869,1972,Gmail Login,200,My personal message,Thread Group 1-1,text,true,My own clear and comprehensive message,73986,621,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,396,1,0,DESKTOP-V2C2U8P,0,355
1571136175869,396,Gmail Login-0,301,Moved Permanently,Thread Group 1-1,text,true,,572,113,1,1,https://gmail.com/,396,1,0,DESKTOP-V2C2U8P,0,355
1571136176266,417,Gmail Login-1,302,Found,Thread Group 1-1,text,true,,605,124,1,1,https://www.google.com/gmail/,417,1,0,DESKTOP-V2C2U8P,0,266
1571136176684,559,Gmail Login-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1002,124,1,1,https://mail.google.com/mail/,559,1,0,DESKTOP-V2C2U8P,0,370
1571136177244,597,Gmail Login-3,200,OK,Thread Group 1-1,text,true,,71807,260,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,464,1,0,DESKTOP-V2C2U8P,0,256
1571136177872,1893,Gmail Login,200,My personal message,Thread Group 1-1,text,true,My own clear and comprehensive message,73966,621,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,302,1,0,DESKTOP-V2C2U8P,0,256
1571136177872,302,Gmail Login-0,301,Moved Permanently,Thread Group 1-1,text,true,,572,113,1,1,https://gmail.com/,302,1,0,DESKTOP-V2C2U8P,0,256
1571136178174,445,Gmail Login-1,302,Found,Thread Group 1-1,text,true,,605,124,1,1,https://www.google.com/gmail/,445,1,0,DESKTOP-V2C2U8P,0,298
1571136178620,482,Gmail Login-2,302,Moved Temporarily,Thread Group 1-1,text,true,,1002,124,1,1,https://mail.google.com/mail/,482,1,0,DESKTOP-V2C2U8P,0,258
1571136179102,663,Gmail Login-3,200,OK,Thread Group 1-1,text,true,,71787,260,1,1,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#,542,1,0,DESKTOP-V2C2U8P,0,330
